,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,label
121,0,0,0,0,1,0,0,0,1,0,0
122,1,1,0,0,1,0,0,0,0,1,1
123,1,0,1,0,0,0,0,0,1,1,1
124,0,0,1,0,0,0,0,0,0,0,1
125,1,1,0,0,1,0,0,0,1,0,1
127,1,0,0,0,0,0,0,0,0,0,0
129,1,0,0,1,1,1,0,0,0,1,0
130,1,0,1,0,1,1,1,1,1,1,0
132,1,0,1,0,0,1,0,0,0,1,0
133,0,1,0,0,0,0,0,0,0,1,0
135,1,0,0,0,0,0,0,0,0,0,0
137,0,1,1,0,1,0,0,0,0,0,1
139,0,0,1,0,0,0,0,0,0,0,0
144,0,0,1,0,1,0,0,0,0,0,1
145,0,0,0,0,0,1,0,0,1,0,0
147,0,0,0,0,0,1,1,1,0,1,1
148,0,0,0,0,0,0,0,0,0,1,0
151,1,0,0,1,1,1,0,0,1,1,1
153,1,0,0,0,0,0,0,0,0,0,0
154,1,0,0,0,1,1,1,0,1,1,1
155,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,1,0,0,0,0,1,0
157,1,1,1,1,1,1,1,1,1,1,0
158,1,1,0,0,1,0,1,0,0,0,0
159,0,0,1,0,1,1,1,1,0,0,0
160,1,1,0,0,1,1,0,0,0,1,0
161,1,0,0,0,0,0,0,0,1,0,0
162,0,1,0,0,1,0,0,0,0,0,0
163,1,0,0,0,0,0,0,0,0,0,0
165,0,0,1,0,0,0,1,1,0,0,0
166,0,0,1,0,0,1,1,0,1,1,0
167,1,0,0,0,1,0,0,0,1,0,0
168,1,1,1,1,1,0,0,0,1,0,0
170,1,0,1,0,1,1,1,0,1,1,1
171,0,0,0,0,0,0,0,0,0,1,0
173,0,1,1,0,0,0,0,0,0,0,1
174,1,1,1,0,0,0,0,0,1,1,1
176,1,1,0,0,1,1,1,0,1,1,1
178,1,1,0,0,0,0,0,0,0,1,0
179,0,0,1,0,0,0,0,0,0,0,0
180,1,1,1,1,1,0,0,0,1,1,0
182,1,1,1,1,0,0,1,0,0,0,0
183,0,0,0,0,0,0,0,0,1,0,0
184,1,0,0,0,0,1,0,1,0,0,0
185,1,1,1,0,1,1,1,1,1,1,1
187,0,0,0,0,0,1,1,1,0,0,1
189,0,0,0,0,1,0,1,1,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,1,1,0,1,0
192,0,0,1,0,0,0,1,1,0,0,0
194,0,0,0,0,1,1,1,1,1,1,0
195,0,1,0,0,0,0,0,0,0,0,0
197,1,1,0,0,1,0,0,0,0,1,1
198,1,1,1,0,1,1,1,1,0,0,0
199,1,0,0,0,1,1,1,1,1,0,0
200,1,1,0,0,1,0,0,0,0,1,0
201,1,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,1,1,0,0,1,1,0
204,0,0,1,0,0,0,0,0,0,0,0
205,0,0,0,1,1,0,1,0,0,1,0
207,1,0,0,0,1,0,0,0,1,1,0
208,0,0,0,0,0,1,0,0,0,0,0
210,0,1,0,0,0,0,0,0,0,1,1
211,0,0,0,0,1,0,0,0,1,0,0
212,0,0,0,0,0,0,0,0,0,0,0
217,1,1,0,0,0,1,1,1,0,0,0
218,1,1,1,1,1,0,1,0,0,0,0
219,1,1,0,0,1,1,1,1,1,1,1
221,0,0,1,0,0,0,1,0,0,0,0
222,0,0,0,1,1,0,0,0,0,1,1
223,0,0,0,0,0,0,0,1,0,0,0
224,0,0,0,0,1,0,0,0,0,0,0
225,1,1,1,0,1,1,1,1,0,0,0
226,1,0,1,0,0,0,0,0,1,1,1
227,1,0,0,1,1,1,1,0,0,0,0
229,0,0,1,0,1,0,0,0,0,1,0
231,0,0,1,0,0,0,0,0,0,0,0
232,1,0,0,1,0,0,0,0,0,0,0
233,0,0,1,0,1,0,0,1,0,0,1
235,0,0,0,0,1,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,1
238,1,0,0,1,1,1,1,0,0,0,0
239,1,1,0,1,1,0,0,0,0,0,0
240,0,0,0,0,1,0,0,0,0,0,1
241,1,1,1,0,1,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0
245,1,0,0,0,0,0,0,0,0,0,0
246,1,0,1,0,1,0,0,0,1,1,1
249,0,0,1,0,0,0,0,0,0,0,0
250,1,1,1,0,0,0,0,0,0,0,0
251,0,0,0,0,1,1,1,1,0,1,0
253,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,1,0,0,0,0,0,1,0
256,1,0,0,0,0,0,0,0,0,0,0
257,0,0,1,0,0,0,0,0,0,1,1
258,0,0,1,0,0,0,1,0,0,0,0
259,1,0,0,0,1,0,0,0,0,1,0
263,0,0,1,0,0,0,0,1,0,0,1
264,0,0,0,0,1,0,1,0,0,0,0
266,0,0,0,0,1,0,0,0,0,0,0
267,0,0,1,0,1,0,0,0,0,0,0
268,1,1,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,1,0,0,0
270,0,1,0,0,0,0,0,0,0,0,0
274,0,1,1,0,0,0,0,1,0,0,0
276,0,0,0,0,0,1,1,1,0,0,0
277,0,0,0,0,1,1,1,1,0,0,0
278,1,0,1,0,0,1,1,1,0,0,0
280,0,0,1,0,0,1,1,1,0,0,0
282,0,0,0,0,0,1,0,0,0,0,0
284,0,0,0,0,1,1,1,1,0,0,0
285,0,0,1,0,0,1,0,0,1,1,1
286,1,0,0,0,1,0,0,0,0,0,0
287,1,0,0,0,0,0,0,0,0,0,0
289,0,1,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,1,0,0,0,1,1
292,0,0,0,0,0,0,0,0,0,0,0
297,0,1,0,0,0,0,0,0,0,0,0
298,1,0,0,0,0,1,1,1,0,0,0
300,0,0,1,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,1,1,1,0,0,0
306,1,0,0,0,1,1,1,1,0,1,0
307,0,0,0,1,1,0,1,0,0,1,0
308,0,0,0,0,0,0,1,1,0,0,0
309,0,0,0,0,0,0,0,1,0,0,0
311,1,1,0,1,1,1,1,0,0,1,0
312,0,0,0,0,0,0,0,0,0,0,0
314,1,0,1,0,1,0,0,0,0,0,0
317,1,1,0,0,1,1,1,0,1,1,1
318,1,0,1,1,0,1,1,0,0,0,0
320,1,0,1,0,0,1,1,1,0,0,0
321,1,0,0,0,1,0,0,0,0,0,0
322,1,1,1,0,1,0,0,0,1,1,1
323,0,0,1,0,0,0,1,0,0,0,0
325,1,1,0,0,1,1,1,1,0,0,1
326,1,0,0,1,1,0,0,0,0,1,0
327,1,0,0,0,0,1,0,0,0,0,0
328,0,0,0,0,0,1,1,1,1,0,0
331,0,0,1,0,1,0,0,0,0,0,0
332,1,0,0,0,0,0,0,0,0,1,1
334,1,0,0,1,1,1,1,1,0,0,0
335,0,0,1,0,0,1,0,0,0,1,1
336,0,0,0,0,0,1,0,0,1,0,0
339,0,0,0,0,1,0,0,0,1,1,1
340,0,1,1,0,1,0,1,1,0,0,1
341,0,0,1,0,0,0,0,0,0,0,1
343,0,0,1,0,0,0,1,1,0,0,0
344,0,0,0,0,1,1,1,1,0,0,0
347,1,1,1,0,1,1,1,0,1,1,1
348,0,0,1,0,0,1,1,1,0,0,0
349,1,1,0,1,0,0,0,0,0,1,0
350,0,0,0,1,0,0,0,0,0,0,0
351,0,0,0,0,0,1,1,0,0,0,0
352,1,1,1,0,1,0,1,1,0,0,0
354,0,0,0,0,0,1,1,1,0,1,0
356,0,0,0,0,0,0,0,0,0,0,1
357,0,0,1,0,0,0,0,1,0,0,0
359,1,1,0,0,1,0,0,1,0,1,1
360,1,1,0,0,0,0,0,1,0,0,0
361,0,0,0,0,0,0,1,1,0,0,0
362,1,0,1,0,1,1,1,1,0,0,0
363,1,1,1,0,0,1,1,1,0,0,0
364,1,1,1,1,1,1,1,1,1,0,0
365,1,0,0,0,0,1,0,0,0,0,0
368,1,0,0,0,1,0,1,0,0,1,1
369,1,0,0,0,1,0,0,0,1,1,1
372,1,1,0,0,0,1,1,1,0,0,0
375,1,1,0,0,1,1,1,1,0,1,0
378,0,0,1,0,0,1,1,0,0,0,1
379,0,0,1,0,0,0,0,0,0,1,0
380,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,1,0,0,0,0,0,0
382,1,0,0,0,0,0,0,0,0,0,0
383,0,1,0,0,0,0,0,0,0,1,0
386,1,1,0,0,1,0,0,0,0,1,1
387,0,0,0,0,0,0,1,0,0,0,0
388,1,1,1,1,1,1,1,1,1,1,1
389,1,1,0,1,1,1,1,1,0,0,0
390,1,0,0,1,0,1,0,0,0,1,0
393,1,0,0,0,0,0,0,1,0,0,1
395,0,0,0,0,1,0,0,0,0,0,1
396,1,0,0,0,1,0,0,0,0,0,0
397,0,1,0,0,0,0,0,0,0,0,0
398,0,0,1,0,0,0,1,0,0,0,0
399,1,1,1,1,1,1,1,1,1,1,0
400,1,1,0,0,1,0,1,1,1,0,0
402,1,0,1,0,0,1,0,1,0,0,0
403,0,0,0,0,0,0,0,0,0,1,1
405,1,0,0,0,0,1,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0
407,1,1,0,0,1,0,0,0,1,1,0
408,0,0,0,0,0,0,0,0,0,0,1
409,0,0,1,0,0,0,0,0,0,0,0
410,0,0,0,0,1,0,0,0,0,0,0
412,0,1,1,0,1,0,0,0,0,0,0
413,0,0,0,0,0,1,1,1,0,0,0
414,1,0,0,0,1,1,1,0,0,1,0
415,0,0,0,0,0,0,1,0,0,0,0
417,1,1,1,0,1,0,1,0,0,1,1
419,1,1,0,0,0,0,0,0,0,1,0
422,0,0,1,0,0,0,0,1,0,0,1
423,1,1,0,0,1,0,0,0,0,1,1
424,1,0,1,0,0,0,1,1,0,1,1
426,1,1,1,1,1,0,0,0,1,1,1
428,0,0,0,0,0,1,1,0,0,0,0
429,0,0,0,0,0,0,0,1,0,0,1
431,0,0,0,0,0,0,0,0,0,1,0
435,1,0,0,0,0,1,1,1,1,0,0
436,1,1,0,0,1,1,1,1,0,0,0
437,0,0,0,0,0,1,1,1,0,1,1
438,0,0,1,1,0,0,0,0,0,1,1
439,0,0,0,0,0,0,1,1,0,0,0
440,0,0,1,0,0,1,1,1,0,0,0
442,0,0,0,0,1,0,0,0,0,0,0
446,0,0,1,0,0,0,0,0,0,0,1
447,0,0,1,1,0,0,0,0,0,0,0
448,0,0,1,0,0,0,0,0,0,1,1
450,1,1,1,0,1,1,1,1,1,1,1
451,0,0,1,0,0,1,0,1,1,1,1
452,0,0,0,1,0,0,1,0,0,0,0
453,0,0,0,0,1,0,1,0,0,1,1
454,0,0,0,0,0,1,0,0,0,0,0
455,0,0,1,0,0,0,0,0,0,0,0
456,0,0,0,1,0,1,0,1,0,0,0
457,0,0,1,0,1,1,0,0,0,0,0
458,0,0,1,0,0,0,0,0,1,0,0
460,1,0,0,0,0,0,1,1,0,1,0
461,0,0,0,0,0,0,0,0,0,0,0
462,1,1,1,1,1,0,0,0,0,0,0
463,1,1,0,0,0,0,0,0,0,0,0
465,1,1,1,0,1,1,0,0,1,0,0
466,1,0,0,0,0,0,0,0,0,1,0
467,1,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,1,0,0,0,0
471,1,0,0,0,1,1,0,0,1,1,1
472,0,0,1,0,0,0,0,0,0,0,0
473,1,0,1,1,1,0,1,1,0,0,0
475,0,0,0,1,0,0,0,0,0,1,0
476,0,0,0,0,1,0,1,1,0,0,0
477,1,1,0,1,1,0,0,0,0,0,0
478,0,0,1,0,0,0,0,0,0,0,0
480,1,0,1,1,1,0,1,0,1,1,1
481,0,0,0,1,0,0,0,0,0,1,0
482,1,1,1,1,1,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,1,1,1
486,1,0,1,1,1,1,1,1,0,1,0
487,1,0,0,0,0,1,0,0,0,0,0
488,0,0,0,0,0,1,1,0,0,1,0
489,1,1,1,0,0,0,0,0,0,1,0
492,0,0,0,1,0,0,0,0,0,0,1
493,0,0,0,0,1,0,1,0,0,0,0
496,0,0,1,0,1,0,0,0,0,0,0
497,1,1,1,0,1,1,1,1,0,1,1
498,1,0,0,0,1,0,1,1,0,1,1
499,1,1,0,0,1,1,0,0,1,0,0
500,0,1,1,0,0,0,0,0,0,0,0
501,1,0,0,0,1,0,0,0,0,0,0
502,0,0,0,0,1,0,1,1,0,0,0
503,1,1,0,1,1,0,0,0,0,0,0
504,1,0,0,0,0,0,0,0,0,0,0
505,1,0,1,0,0,0,0,0,0,0,0
507,0,0,1,0,0,0,0,0,0,0,0
508,1,1,0,0,1,0,1,1,0,0,0
509,0,0,0,0,0,0,1,1,0,0,0
510,0,1,1,0,1,1,1,1,0,1,0
511,0,0,1,0,0,0,0,0,0,0,0
512,1,1,0,0,1,0,0,0,0,0,0
513,0,0,0,0,0,0,1,0,0,0,0
515,1,0,0,0,0,0,0,0,0,0,0
516,0,1,1,0,1,0,1,0,0,0,1
521,0,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0,0
523,1,1,1,0,0,0,1,0,0,0,0
524,0,0,0,0,1,1,1,1,0,0,1
525,0,0,0,0,0,0,0,0,0,0,0
526,1,0,0,0,0,0,0,0,0,0,0
527,0,0,1,0,0,0,0,0,0,0,0
530,1,1,0,0,1,0,0,0,0,0,0
531,1,1,0,0,1,1,1,1,0,1,0
532,0,0,0,0,0,0,1,0,0,0,1
533,0,0,0,0,0,1,1,1,0,1,1
534,0,0,0,0,0,0,1,0,0,0,0
535,1,0,1,0,1,0,0,0,0,0,0
536,0,0,1,0,0,0,0,0,0,0,1
537,1,1,1,0,1,1,1,1,0,1,0
538,1,0,1,1,1,1,0,0,0,1,0
539,1,0,1,0,1,0,0,0,0,0,0
540,0,0,0,0,0,1,0,0,0,0,0
541,0,0,1,0,1,0,0,0,0,1,1
543,0,0,1,0,0,0,0,1,0,0,0
544,0,0,0,0,0,0,0,0,0,1,1
545,0,0,0,0,0,0,0,0,0,0,1
546,0,0,0,0,0,0,0,1,0,0,0
547,1,0,0,0,0,0,0,0,0,1,1
548,0,0,0,0,0,0,1,0,0,0,0
550,0,0,1,0,0,0,0,0,0,0,1
551,1,0,0,0,0,1,1,1,0,0,0
552,1,0,0,0,1,0,1,1,0,0,0
553,0,0,0,0,0,0,0,1,0,0,0
556,0,1,1,0,1,0,1,1,0,0,0
557,0,0,0,0,0,0,0,1,0,0,0
558,0,0,1,0,0,0,0,0,0,0,0
559,1,0,0,0,0,0,0,0,0,0,0
560,1,0,0,0,0,0,0,0,0,0,0
561,0,1,1,0,0,0,0,0,0,1,1
566,1,0,1,1,1,1,1,1,0,0,0
568,0,0,1,0,0,0,0,0,0,0,1
569,0,0,1,0,0,0,0,1,0,0,0
571,0,0,1,0,0,1,1,1,0,0,0
575,0,0,0,0,0,0,0,0,0,0,0
576,1,0,0,0,0,0,0,0,0,0,0
577,0,0,1,0,0,0,1,1,0,0,0
578,0,1,0,0,0,0,0,0,0,0,0
580,0,1,0,0,1,0,0,0,0,0,1
581,1,1,0,0,0,1,1,1,0,0,0
583,0,0,0,0,1,1,1,0,1,1,1
585,0,0,0,0,0,1,1,1,0,1,0
587,0,0,1,0,0,0,0,1,0,0,0
588,0,0,0,0,1,0,1,0,0,1,1
591,0,0,0,0,0,1,0,0,0,0,0
592,1,1,0,1,1,0,1,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,0
594,0,0,0,1,0,0,0,0,0,0,0
595,1,0,0,1,1,0,0,0,0,1,0
596,1,1,1,0,0,0,0,0,1,0,0
597,0,0,0,0,0,0,0,0,0,0,1
598,0,0,0,0,0,1,1,1,0,0,0
600,0,0,0,0,1,0,0,0,1,0,0
601,1,1,1,0,1,0,0,0,1,0,0
602,0,0,0,0,1,0,1,1,0,0,1
603,0,0,0,0,1,0,0,0,0,0,0
604,1,0,1,0,1,0,0,0,0,0,0
605,0,0,0,0,0,0,1,0,0,0,0
607,1,0,0,0,1,0,0,0,0,0,0
608,1,1,1,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,1,0,0
611,1,0,0,0,1,0,0,0,0,0,0
612,0,0,1,0,0,1,0,0,0,0,0
613,0,0,0,0,0,0,0,0,0,0,1
615,0,0,0,1,0,1,1,0,0,0,0
616,0,0,0,1,0,0,0,0,0,0,0
618,1,0,0,0,1,1,1,1,0,0,0
620,0,0,0,0,1,0,1,0,0,0,0
622,1,0,0,0,0,0,0,0,0,0,0
624,1,1,0,0,1,0,0,0,0,0,0
625,1,1,1,0,1,0,0,0,0,1,1
626,0,0,0,0,0,0,0,0,0,1,0
627,1,1,0,1,1,1,1,0,1,1,1
628,1,0,0,0,1,0,0,0,1,1,1
629,0,0,0,0,0,0,0,0,0,1,1
630,0,1,1,1,0,0,0,0,0,1,0
631,1,0,1,1,1,1,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,1,1,0,1,0,0,0
636,0,1,0,0,0,0,0,0,0,0,0
637,0,0,0,0,1,0,0,1,0,0,0
638,1,0,0,0,0,0,0,0,0,1,0
639,1,1,0,0,1,1,1,1,1,1,1
641,0,0,0,0,1,0,0,0,0,0,0
645,0,0,0,0,0,0,0,1,0,0,1
646,0,0,0,0,0,1,0,0,0,0,0
647,1,0,0,0,0,1,0,0,0,1,0
648,0,0,1,0,0,0,0,0,0,0,1
649,1,1,1,1,1,0,1,0,0,0,0
650,0,0,0,0,0,0,0,1,0,0,0
652,1,0,1,1,1,0,0,0,0,0,0
655,0,1,0,0,0,1,0,0,0,1,1
656,0,0,0,0,1,0,0,0,0,0,0
657,1,0,0,0,0,0,1,0,0,0,0
658,0,0,0,0,1,0,1,1,0,1,0
660,0,0,0,0,0,0,1,0,1,1,1
661,1,1,0,0,0,0,1,1,0,0,0
662,1,0,0,1,0,1,0,1,0,0,0
663,0,0,0,0,0,0,0,0,0,0,0
664,1,0,0,0,0,0,1,0,0,0,0
665,0,0,0,0,0,0,0,0,0,1,0
667,0,1,0,0,1,1,0,0,1,1,1
668,1,0,0,0,1,1,1,1,0,0,0
669,1,1,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,0,0,0,0,0,1
673,0,0,1,0,1,0,0,0,0,0,1
675,0,0,0,0,0,0,0,1,0,0,0
676,0,0,0,0,0,0,0,0,1,0,0
677,0,0,0,0,0,0,0,0,0,1,0
678,0,0,0,0,0,0,0,0,0,0,1
679,0,0,0,0,0,1,0,0,0,0,0
680,0,0,1,0,1,1,1,0,1,1,1
681,1,0,0,1,1,0,0,0,0,0,0
682,1,0,0,0,0,0,0,0,0,0,1
684,0,0,1,1,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,1,1
689,0,0,1,1,0,0,0,0,0,1,0
690,1,1,0,1,0,1,1,0,0,0,0
691,1,1,0,0,0,0,0,0,0,0,0
694,1,0,1,0,1,0,1,0,0,1,1
696,1,0,1,0,0,0,0,0,1,0,1
698,1,0,0,1,0,0,0,0,0,1,1
699,0,0,0,0,0,0,0,0,0,1,1
700,0,0,0,0,0,0,0,0,0,1,0
702,1,0,1,1,1,1,1,1,1,0,0
703,0,1,0,1,1,0,0,0,0,0,0
704,0,0,0,0,0,1,0,0,1,0,0
705,1,1,0,0,0,0,0,0,0,0,1
706,0,0,0,1,0,0,0,0,0,1,0
708,0,0,0,0,0,1,0,0,0,0,0
709,1,0,0,0,1,1,1,0,0,1,0
710,0,0,0,0,1,0,0,1,0,0,0
711,0,1,1,0,0,0,0,0,0,0,0
712,1,0,1,1,0,0,0,0,1,0,0
713,0,0,0,0,0,1,1,1,1,1,1
714,0,0,0,0,0,0,0,0,0,0,0
717,0,0,0,1,0,0,0,0,0,0,0
719,0,0,0,0,0,1,0,0,0,0,0
721,1,0,0,0,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0,0,0,0,1
723,0,0,0,0,0,0,0,1,0,0,0
724,1,0,1,1,0,1,0,1,0,1,1
726,1,1,0,0,0,0,1,0,1,1,1
728,0,0,0,0,0,0,0,0,0,0,1
729,1,1,0,0,1,0,1,1,0,0,0
730,1,0,0,0,1,1,1,1,0,0,0
732,1,0,1,0,0,0,0,0,0,0,0
733,1,0,0,1,0,0,0,0,0,1,0
734,0,0,0,0,1,0,1,0,0,0,0
736,1,0,1,0,1,1,1,0,0,1,1
737,0,0,0,0,0,1,0,1,0,0,0
739,1,1,0,1,1,0,1,0,0,0,0
740,0,0,1,0,0,0,0,0,0,0,0
741,1,1,1,1,0,1,0,0,1,1,0
742,1,1,0,0,1,0,1,0,1,1,0
744,0,0,0,0,0,0,0,0,0,0,0
745,0,0,1,0,1,1,1,1,0,1,0
746,0,0,0,0,0,1,0,0,0,0,0
747,0,0,0,1,1,0,0,0,0,0,0
748,0,0,1,1,0,0,0,1,1,1,0
749,0,0,1,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,1,1,0,0,0
751,1,0,0,1,1,0,0,0,1,1,1
752,0,0,0,0,1,0,0,0,0,0,0
753,0,0,1,0,1,0,1,1,0,0,0
755,0,0,1,0,0,1,0,1,1,0,1
756,0,0,1,1,0,0,0,0,0,0,0
757,0,0,0,0,0,0,0,0,0,1,0
760,0,1,0,0,0,0,0,0,0,0,0
761,0,0,0,0,0,0,0,0,0,1,0
762,0,1,0,0,0,0,0,0,0,0,0
763,0,1,0,0,1,0,0,0,0,0,0
764,1,0,0,0,0,1,0,0,0,0,0
765,1,0,0,0,0,0,0,0,0,0,0
766,0,0,0,0,1,0,0,0,0,1,0
767,0,0,0,0,0,0,0,1,0,0,0
768,1,0,0,0,1,1,0,0,0,1,0
769,0,0,0,0,0,0,1,1,0,0,0
770,0,1,0,0,1,1,1,0,0,0,0
773,0,0,0,1,1,0,0,0,0,0,0
774,0,0,0,0,0,0,0,0,0,0,1
775,0,0,0,0,0,0,0,0,1,1,1
776,0,0,0,0,0,1,1,1,0,0,0
777,1,1,0,1,1,0,0,0,1,0,0
778,0,0,0,0,0,0,0,0,0,0,0
780,1,0,0,0,0,0,0,0,0,0,0
781,0,0,1,1,0,0,0,0,0,0,0
783,1,0,0,0,0,1,1,1,0,1,0
784,0,0,1,0,1,1,1,1,0,0,0
787,0,0,0,0,1,0,0,0,0,0,0
789,1,1,0,0,1,0,0,0,0,0,0
790,0,0,0,0,0,0,0,1,0,0,0
792,0,0,0,0,0,1,1,0,0,0,0
793,0,0,0,0,1,0,0,0,0,0,0
795,0,0,0,0,1,0,1,0,0,0,0
797,0,0,0,0,0,0,1,0,0,1,0
798,0,0,0,0,0,0,0,0,0,0,1
799,0,0,0,0,0,0,0,0,0,0,0
802,0,0,0,0,0,1,0,0,0,0,0
803,0,0,0,0,0,0,1,0,0,0,0
805,1,0,1,0,0,0,0,0,0,0,0
806,0,1,0,0,1,0,1,1,1,1,0
809,0,0,0,0,1,0,1,1,0,0,0
811,1,0,1,0,0,0,1,0,0,0,1
813,0,0,0,1,0,1,1,1,0,0,0
814,1,0,1,1,0,0,0,0,0,0,0
815,0,0,0,0,0,1,0,0,0,0,0
816,0,0,0,0,1,1,1,1,0,0,0
818,1,0,0,0,1,1,1,1,0,0,0
819,0,0,1,0,1,1,1,1,1,1,1
820,1,1,1,1,1,0,0,0,0,1,0
821,1,0,0,0,1,1,1,1,0,0,0
822,1,1,0,0,0,1,0,0,0,1,0
823,0,0,0,0,0,0,0,1,0,0,0
824,0,0,0,0,0,0,1,0,0,0,0
825,0,0,0,0,1,0,0,1,0,0,0
828,0,0,0,0,1,0,1,1,0,0,0
830,0,0,0,0,1,0,1,0,0,0,0
832,0,0,0,0,0,0,1,0,0,0,0
834,0,0,1,0,0,0,0,0,0,0,0
836,1,0,1,0,1,1,1,1,0,0,0
837,1,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,1,0,0,0
